CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/22/2017,6E,900 S LAKEWOOD AVE,LARCENY,,SOUTHEASTERN,Canton
9/22/2017,6E,1500 CLARKSON ST,LARCENY,,SOUTHERN,South Baltimore
9/22/2017,6J,1900 GREENMOUNT AVE,LARCENY,,EASTERN,Barclay
9/22/2017,6G,600 N WOLFE ST,LARCENY,,EASTERN,Dunbar-Broadway
9/22/2017,6G,600 N WOLFE ST,LARCENY,,EASTERN,Dunbar-Broadway
9/22/2017,6E,800 SPEDDEN ST,LARCENY,,WESTERN,Midtown-Edmondson
9/22/2017,6E,2800 LIBERTY HEIGHTS AVE,LARCENY,,NORTHWESTERN,Liberty Square
9/22/2017,6G,2500 ARUNAH AVE,LARCENY,,WESTERN,Evergreen Lawn
9/22/2017,6J,3400 6TH ST,LARCENY,,SOUTHERN,Brooklyn
9/22/2017,6C,900 N WASHINGTON ST,LARCENY,,EASTERN,Middle East
9/22/2017,6J,3800 ERDMAN AVE,LARCENY,,NORTHEASTERN,Belair-Edison
9/22/2017,6J,1000 MCDONOGH ST,LARCENY,,EASTERN,Middle East
9/22/2017,6G,700 BAKER ST,LARCENY,,WESTERN,Sandtown-Winchester
9/22/2017,6G,6600 PARK HEIGHTS AVE,LARCENY,,NORTHWESTERN,Glen
9/22/2017,6G,2400 KIRK AVE,LARCENY,,EASTERN,East Baltimore Midway
9/22/2017,6J,1500 62ND ST,LARCENY,,NORTHEASTERN,Pulaski Industrial Area
9/22/2017,6C,6500 EASTERN AVE,LARCENY,,SOUTHEASTERN,Pulaski Industrial Area
9/22/2017,6B,4100 FAIRHAVEN AVE,LARCENY,,SOUTHERN,Curtis Bay
9/22/2017,6C,700 W 40TH ST,LARCENY,,NORTHERN,Hampden
9/22/2017,6C,6400 REISTERSTOWN RD,LARCENY,,NORTHWESTERN,Glen
9/22/2017,6J,4000 FALLSTAFF RD,LARCENY,,NORTHWESTERN,Fallstaff
9/21/2017,6J,MARTIN LUTHER KING JR BL & PENNSYLVANI,LARCENY,,CENTRAL,Heritage Crossing
9/21/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/21/2017,6F,1200 S CONKLING ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/21/2017,6C,2100 FLEET ST,LARCENY,,SOUTHEASTERN,Canton
9/21/2017,6J,1500 E CLEMENT ST,LARCENY,,SOUTHERN,Locust Point
9/21/2017,6C,700 W 40TH ST,LARCENY,,NORTHERN,Hampden
9/21/2017,6G,2000 W BALTIMORE ST,LARCENY,,WESTERN,Penrose/Fayette Street Ou
9/21/2017,6J,2700 VIRGINIA AVE,LARCENY,,NORTHERN,Cylburn
9/21/2017,6G,2100 PENROSE AVE,LARCENY,,WESTERN,Penrose/Fayette Street Ou
