1/29/2017,2A,3400 GARRISON BLVD,RAPE,OTHER,NORTHWESTERN,Callaway-Garrison
1/23/2017,2A,4300 WOODLEA AVE,RAPE,OTHER,NORTHEASTERN,Frankford
1/22/2017,2A,700 ALICEANNA ST,RAPE,OTHER,SOUTHEASTERN,Inner Harbor
1/20/2017,2A,3300 RICHMOND AVE,RAPE,OTHER,NORTHEASTERN,Belair-Edison
1/20/2017,2A,1000 CEDARCROFT RD,RAPE,OTHER,NORTHERN,Lake Walker
1/18/2017,2A,0 UPLAND RD,RAPE,OTHER,NORTHERN,Roland Park
1/17/2017,2A,2200 CHRISTIAN ST,RAPE,OTHER,SOUTHWESTERN,Carrollton Ridge
1/17/2017,2A,300 E LORRAINE AVE,RAPE,OTHER,NORTHERN,Harwood
1/16/2017,2A,1300 N WOODINGTON RD,RAPE,OTHER,SOUTHWESTERN,Edmondson Village
1/16/2017,2B,2600 WILKENS AVE,RAPE,,SOUTHWESTERN,Millhill
1/14/2017,2B,1200 E 25TH ST,RAPE,,NORTHEASTERN,Coldstream Homestead Mont
1/13/2017,2B,4800 BELAIR RD,RAPE,,NORTHEASTERN,Frankford
1/12/2017,2B,2200 FLEETWOOD AVE,RAPE,,NORTHEASTERN,Hamilton Hills
1/12/2017,2A,1600 ELRINO ST,RAPE,OTHER,SOUTHEASTERN,Broening Manor
1/11/2017,2A,200 N HILTON ST,RAPE,OTHER,SOUTHWESTERN,Saint Josephs
1/10/2017,2A,5700 LOCH RAVEN BLVD,RAPE,OTHER,NORTHEASTERN,Loch Raven
1/9/2017,2A,0 S GREENE ST,RAPE,OTHER,CENTRAL,University Of Maryland
1/9/2017,2A,1600 CEDDOX ST,RAPE,OTHER,SOUTHERN,Curtis Bay
1/7/2017,2A,1000 UNION AVE,RAPE,OTHER,NORTHERN,Hampden
1/7/2017,2A,1400 MOUNTMOR CT,RAPE,OTHER,WESTERN,Sandtown-Winchester
1/4/2017,2A,2100 PENROSE AVE,RAPE,OTHER,WESTERN,Penrose/Fayette Street Ou
1/3/2017,2B,2500 W FAYETTE ST,RAPE,,SOUTHWESTERN,Shipley Hill
1/3/2017,2A,100 E MOUNT ROYAL AVE,RAPE,OTHER,CENTRAL,Mid-Town Belvedere
1/2/2017,2A,3900 S HANOVER ST,RAPE,OTHER,SOUTHERN,Brooklyn
