CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
10/9/2014,1O,2700 HUGO AV,HOMICIDE,OTHER,NORTHEASTERN,Coldstream Homestead Mont
10/7/2014,1F,3000 N HILTON ST,HOMICIDE,FIREARM,NORTHWESTERN,Forest Park
10/7/2014,1F,5200 DENMORE AV,HOMICIDE,FIREARM,NORTHWESTERN,Arlington
10/7/2014,1F,5200 DENMORE AV,HOMICIDE,FIREARM,NORTHWESTERN,Arlington
10/6/2014,1K,700 S BOND ST,HOMICIDE,KNIFE,SOUTHEASTERN,Fells Point
10/5/2014,1F,5000 RAINTREE WY,HOMICIDE,FIREARM,NORTHEASTERN,Parkside
10/4/2014,1F,7000 FIELDCREST RD,HOMICIDE,FIREARM,NORTHWESTERN,Fallstaff
10/1/2014,1F,1600 CLIFTVIEW AV,HOMICIDE,FIREARM,EASTERN,Darley Park
9/30/2014,1F,3700 E PRATT ST,HOMICIDE,FIREARM,SOUTHEASTERN,Baltimore Highlands
9/28/2014,1F,2400 E OLIVER ST,HOMICIDE,FIREARM,EASTERN,Broadway East
9/26/2014,1K,2500 N HOWARD ST,HOMICIDE,KNIFE,NORTHERN,Remington
9/25/2014,1F,3800 BOARMAN AV,HOMICIDE,FIREARM,NORTHWESTERN,Callaway-Garrison
9/23/2014,1K,1700 KANE ST,HOMICIDE,KNIFE,SOUTHEASTERN,Broening Manor
9/23/2014,1K,6000 AMBERWOOD RD,HOMICIDE,KNIFE,NORTHEASTERN,Frankford
9/22/2014,1F,400 N MONTFORD AV,HOMICIDE,FIREARM,SOUTHEASTERN,McElderry Park
9/21/2014,1F,400 W SARATOGA ST,HOMICIDE,FIREARM,CENTRAL,Downtown
9/21/2014,1F,400 W SARATOGA ST,HOMICIDE,FIREARM,CENTRAL,Downtown
9/20/2014,1F,6500 HOLABIRD AV,HOMICIDE,FIREARM,SOUTHEASTERN,Broening Manor
9/18/2014,1F,3000 FLEETWOOD AV,HOMICIDE,FIREARM,NORTHEASTERN,Westfield
9/18/2014,1F,5800 WAYCROSS RD,HOMICIDE,FIREARM,NORTHEASTERN,Cedonia
9/11/2014,1F,2900 ARUNAH AV,HOMICIDE,FIREARM,SOUTHWESTERN,Franklintown Road
9/6/2014,1F,2000 CECIL AV,HOMICIDE,FIREARM,EASTERN,East Baltimore Midway
9/3/2014,1F,3200 SPAULDING AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
9/3/2014,1F,4900 PARK HEIGHTS AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
9/2/2014,1F,4700 PARK HEIGHTS AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
9/1/2014,1F,700 LINNARD ST,HOMICIDE,FIREARM,SOUTHWESTERN,Edgewood
9/1/2014,1F,1800 DRUID HILL AV,HOMICIDE,FIREARM,CENTRAL,Druid Heights
8/31/2014,1F,4200 BERGER AV,HOMICIDE,FIREARM,NORTHEASTERN,Frankford
8/29/2014,1F,100 N GILMOR ST,HOMICIDE,FIREARM,WESTERN,Franklin Square
8/27/2014,1F,2400 E MADISON ST,HOMICIDE,FIREARM,EASTERN,Milton-Montford
8/26/2014,1K,500 E COLD SPRING LA,HOMICIDE,KNIFE,NORTHERN,Wrenlane
8/24/2014,1F,4200 WEST BAY AV,HOMICIDE,FIREARM,SOUTHERN,Brooklyn
8/24/2014,1K,600 WINSTON AV,HOMICIDE,KNIFE,NORTHERN,Winston-Govans
8/24/2014,1K,1500 GORSUCH AV,HOMICIDE,KNIFE,NORTHEASTERN,Coldstream Homestead Mont
8/22/2014,1O,4200 SHAMROCK AV,HOMICIDE,OTHER,NORTHEASTERN,Belair-Edison
8/22/2014,1F,2000 LINDEN AV,HOMICIDE,FIREARM,CENTRAL,Reservoir Hill
8/21/2014,1F,3400 RAMONA AV,HOMICIDE,FIREARM,NORTHEASTERN,Belair-Edison
8/20/2014,1F,200 N BENTALOU ST,HOMICIDE,FIREARM,WESTERN,Penrose/Fayette Street Ou
8/20/2014,1F,0 W 20TH ST,HOMICIDE,FIREARM,NORTHERN,Charles North
8/16/2014,1O,1400 GORSUCH AV,HOMICIDE,OTHER,NORTHEASTERN,Coldstream Homestead Mont
8/15/2014,1K,4100 FERNHILL AV,HOMICIDE,KNIFE,NORTHWESTERN,West Arlington
8/11/2014,1K,2800 ST LO DR,HOMICIDE,KNIFE,NORTHEASTERN,Clifton Park
8/11/2014,1F,6000 BELAIR RD,HOMICIDE,FIREARM,NORTHEASTERN,Cedmont
8/11/2014,1F,2900 BRIGHTON ST,HOMICIDE,FIREARM,SOUTHWESTERN,Northwest Community Actio
8/10/2014,1F,1600 E MADISON ST,HOMICIDE,FIREARM,EASTERN,Gay Street
8/9/2014,1K,1500 MARSHALL ST,HOMICIDE,KNIFE,SOUTHERN,South Baltimore
8/9/2014,1F,1300 E LAFAYETTE AV,HOMICIDE,FIREARM,EASTERN,Oliver
8/9/2014,1F,4100 E MONUMENT ST,HOMICIDE,FIREARM,EASTERN,Orangeville
8/7/2014,1K,4100 CHATHAM RD,HOMICIDE,KNIFE,NORTHWESTERN,Dorchester
8/5/2014,1F,500 N MONROE ST,HOMICIDE,FIREARM,WESTERN,Midtown-Edmondson
8/3/2014,1F,500 SHERIDAN AV,HOMICIDE,FIREARM,NORTHERN,Woodbourne-McCabe
8/1/2014,1F,3600 OLD YORK RD,HOMICIDE,FIREARM,NORTHERN,Waverly
8/1/2014,1F,500 YALE AV,HOMICIDE,FIREARM,SOUTHWESTERN,Yale Heights
7/31/2014,1F,4700 WILERN AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
7/31/2014,1F,900 N MONROE ST,HOMICIDE,FIREARM,WESTERN,Midtown-Edmondson
7/30/2014,1F,4900 REISTERSTOWN RD,HOMICIDE,FIREARM,NORTHWESTERN,Lucille Park
7/26/2014,1F,2200 W SARATOGA ST,HOMICIDE,FIREARM,WESTERN,Penrose/Fayette Street Ou
7/23/2014,1F,3300 DORITHAN RD,HOMICIDE,FIREARM,NORTHWESTERN,East Arlington
7/20/2014,1K,1200 E LAFAYETTE AV,HOMICIDE,KNIFE,EASTERN,Oliver
7/17/2014,1F,5300 GOODNOW RD,HOMICIDE,FIREARM,NORTHEASTERN,Frankford
7/17/2014,1F,5000 QUEENSBERRY AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
7/17/2014,1O,2900 DENHAM CIRCLE SOUTH,HOMICIDE,OTHER,SOUTHERN,Cherry Hill
7/16/2014,1F,3500 WINDSOR MILL RD,HOMICIDE,FIREARM,SOUTHWESTERN,Mount Holly
7/16/2014,1F,3600 DOLFIELD AV,HOMICIDE,FIREARM,NORTHWESTERN,Dolfield
7/16/2014,1K,3400 PIEDMONT AV,HOMICIDE,KNIFE,NORTHWESTERN,Hanlon-Longwood
7/16/2014,1F,2200 CEDLEY ST,HOMICIDE,FIREARM,SOUTHERN,Westport
7/15/2014,1F,2200 WINDSOR AV,HOMICIDE,FIREARM,WESTERN,Mondawmin
7/8/2014,1F,3000 SPAULDING AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
7/5/2014,1F,1500 WHITELOCK ST,HOMICIDE,FIREARM,WESTERN,Penn North
7/5/2014,1F,300 FOLCROFT ST,HOMICIDE,FIREARM,SOUTHEASTERN,Bayview
7/5/2014,1F,2500 CHRISTIAN ST,HOMICIDE,FIREARM,SOUTHWESTERN,Millhill
7/4/2014,1F,3200 CHELSEA TER,HOMICIDE,FIREARM,NORTHWESTERN,Concerned Citizens Of For
7/4/2014,1K,1300 N PATTERSON PARK AV,HOMICIDE,KNIFE,EASTERN,Broadway East
